id_user,id_business,review_rating,review_date,id,year,processed_text,sentiment
1,0x8894b5a7a7909725:0xe4687299fd288188,5,2018-09-17 14:51:08.022,1,2018,salad lackluster though well written description made hard pas bykudos menu editor apps entree fantastic grouper fabulous chowder missed oyster rockefeller fantastic stale cracker swapped great meal though pricey,NEGATIVE
2,0x8894b5a7a7909725:0xe4687299fd288188,1,2018-09-20 00:12:47.631,2,2018,love place great little restaurant unique dish service beyond excellent,POSITIVE
3,0x8894b5a7a7909725:0xe4687299fd288188,5,2018-08-22 11:13:16.392,3,2018,classy restaurant match charm inn make reservation busy season,POSITIVE
4,0x8894b5a7a7909725:0xe4687299fd288188,5,2019-04-17 01:25:32.274,4,2019,great atmosphere good food,POSITIVE
5,0x8894b5a7a7909725:0xe4687299fd288188,5,2019-05-20 22:42:50.993,5,2019,good food,POSITIVE
6,0x8894b5a7a7909725:0xe4687299fd288188,5,2018-05-30 21:53:07.081,6,2018,best,POSITIVE
1,0x88f5a178d51075bd:0x85daa2b989c538c,1,2019-05-30 01:48:30.824,10,2019,great service good food make sure try sangriai know sangria sushi restaurant place full strange clash culture thats part charm there lot charm sadly quality eventually declined closed business,POSITIVE
197097,0x88f5a178d51075bd:0x85daa2b989c538c,2,2017-10-26 18:52:50.458,12,2017,restaurant decor gorgeous thing great place food okay terrible deliciousbut okay service incredibly slow took forever take order somewhat rude taking order recommend place want try overpriced mediocre food,NEGATIVE
199968,0x88f5a178d51075bd:0x85daa2b989c538c,5,2018-08-11 16:13:33.764,14,2018,loved flying roll road found owner sold created new place loved everything place,POSITIVE
260166,0x88f5a178d51075bd:0x85daa2b989c538c,5,2018-08-11 16:13:33.764,15,2018,loved flying roll road found owner sold created new place loved everything place,POSITIVE
200303,0x88f5a178d51075bd:0x85daa2b989c538c,4,2018-05-12 20:14:08.757,16,2018,fresh sushi great chicken dish well got double size salad really good filling,POSITIVE
